"name","type","tier","tier_name","Private_or_public","state","Female","Parents mean","Parentsq1","Parentsq5","Parentstop1pc","Kidsmean","Kidsq5","Kidstop1pc"
"Riverside Community College District","1","9","Two-year (public and private not-for-profit)","Private","CA","0.5215334033411364","80882.55802186558","0.124952813314694","0.2166258784071083","0.0024339117778273","33397.39899894981","0.2004074487717561","0.001780618150796"
"Saddleback College","1","9","Two-year (public and private not-for-profit)","Private","CA","0.4639832426621168","138658.739265473","0.0702340607925363","0.4414478652518025","0.018010598045704","37931.57487449011","0.2377233823598724","0.0091977161453134"
"Saint Mary's College Of California","2","6","Selective private","Private","CA","0.5951333189399449","191245.6763398594","0.0672936305862544","0.4875042165562138","0.0593447144292937","65125.44909473821","0.5010219655402759","0.0339945491027278"
"San Bernardino Community College District","1","9","Two-year (public and private not-for-profit)","Private","CA","0.5181548560509273","69714.46351372173","0.2209252595137076","0.1462839406904548","0.0025045856909898","31807.68551033887","0.1862020611492795","0.0021425874749971"
"San Diego Community College District","1","9","Two-year (public and private not-for-profit)","Private","CA","0.4926888797103852","89368.3024725578","0.1746949598493452","0.2256600086686205","0.0095233764347445","36581.09854297941","0.2173350896473324","0.0060752216097623"
"San Diego State University","1","5","Selective public","Public","CA","0.5873469846479114","139292.3703820784","0.0897858077212879","0.4401817137045174","0.0186473467339765","57036.05158294986","0.4490420212680177","0.0231026031736271"
"San Francisco Community College District","1","9","Two-year (public and private not-for-profit)","Private","CA","0.4852545504289447","72116.39306193811","0.1839870219916923","0.1624684669255394","0.0039010939096649","39077.68185227364","0.2353257459258041","0.0062609343568222"
"San Francisco State University","1","5","Selective public","Public","CA","0.6167819720433823","119248.8324889917","0.1007141053679662","0.3587392216254408","0.0128679425618996","50721.37696014558","0.3785113548038223","0.0118319169157463"
"San Joaquin Delta College","1","9","Two-year (public and private not-for-profit)","Private","CA","0.5196697754079505","78048.92616634077","0.159968757421848","0.2015293692891762","0.0030438470694186","35298.14719806118","0.2072006451630975","0.0028194806630967"
"San Joaquin Valley College","3","11","Two-year for-profit","NA","CA","0.7504147293086743","47284.3910251885","0.3478911818398271","0.0432289830474663","0.0005052210365577","25566.68046375515","0.1049049578716067","0.0010551251755241"
"San Jose State University","1","5","Selective public","Public","CA","0.5078463375941659","115874.4906851421","0.1165861113593621","0.3870714021763151","0.0096155322685027","64343.15491112341","0.5094416802228341","0.0209564743247556"
"San Jose-Evergreen Community College District","1","9","Two-year (public and private not-for-profit)","Private","CA","0.5101990374979648","82338.57424583445","0.1551842283286001","0.2423370090171348","0.0030572690669019","37561.01985056541","0.227063218478788","0.003908602986965"
"San Mateo County Community College District","1","9","Two-year (public and private not-for-profit)","Private","CA","0.4766048680315562","95244.31779107943","0.1054372383621028","0.2890144811041435","0.0062606144606385","44528.05577154068","0.3107757000772095","0.0080007547698124"
"Santa Barbara Business College","3","10","Four-year for-profit","NA","CA","0.8116468722616249","54232.58411820304","0.3050165558148769","0.0609046949469746","0.0018748514604062","23865.80059124432","0.0864316623102248","0.0007835780639695"
"Santa Barbara City College","1","9","Two-year (public and private not-for-profit)","Private","CA","0.4454616090499274","149972.6476321611","0.0965307513023903","0.3693212276469542","0.033004011041958","42977.7478106185","0.249730125073295","0.0113837547039206"
"Santa Clara University","2","4","Highly selective private","Private","CA","0.5517274879694547","327182.7914701919","0.0362177116041307","0.6507916677964329","0.1084448084029416","91531.37010567531","0.6307778557283799","0.0931418802729237"
"Santa Monica College","1","9","Two-year (public and private not-for-profit)","Private","CA","0.4930408832313833","114345.2306969905","0.2269075739778627","0.212149045274923","0.0194647336365788","37890.72393593028","0.2184459497705654","0.0099626653940378"
"Santa Rosa Junior College","1","9","Two-year (public and private not-for-profit)","Private","CA","0.4905513979574143","97198.35911756805","0.0903239030990552","0.2861058039931738","0.0058880745244411","37894.20293777676","0.2367848019881918","0.0044067501718948"
"Scripps College","2","2","Other elite schools (public and private)","Private","CA","1","254753.8225788288","0.0512440631258975","0.5645866077084139","0.0824301453324052","54995.78643721848","0.3999500812802566","0.0350848681021432"
"Sierra College","1","9","Two-year (public and private not-for-profit)","Private","CA","0.488026567274966","101030.3040743884","0.0782191181495362","0.3195134183877164","0.0074635081484852","36985.47884017227","0.235092970960777","0.0043411782623031"
